Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Jawa Timur,Kab. Blitar,"152,206.64","4,611.36",3.03,"86,734.73",56.98,"91,346.09",60.01,"3,704.93","5,310.53",5.92,P 1
2024,Jawa Timur,Kab. Jember,"304,964.95","2,417.65",0.79,"107,442.86",35.23,"109,860.51",36.02,"2,165.97",169.36,0.77,P 1
2024,Jawa Timur,Kab. Banyuwangi,"306,270.96","92,581.50",30.23,"84,906.30",27.72,"177,487.80",57.95,"90,371.51","11,672.70",33.32,P 1
2024,Jawa Timur,Kab. Bondowoso,"115,049.02",601.54,0.52,"24,893.00",21.64,"25,494.54",22.16,513.94,803,1.14,P 1
2024,Jawa Timur,Kab. Situbondo,"93,669.45","8,909.26",9.51,"56,830.13",60.67,"65,739.40",70.18,"4,812.16","3,992.74",9.4,P 1
2024,Jawa Timur,Kab. Sidoarjo,"313,401.68","16,649.64",5.31,"184,334.53",58.82,"200,984.17",64.13,"15,764.16",,5.03,P 1
2024,Jawa Timur,Kab. Mojokerto,"164,117.17","46,169.12",28.13,"36,561.29",22.28,"82,730.41",50.41,"37,114.87",306.19,22.8,P 1
2024,Jawa Timur,Kab. Jombang,"193,583.44","28,590.63",14.77,"56,217.30",29.04,"84,807.93",43.81,"28,251.93",7.3,14.6,P 1
2024,Jawa Timur,Kab. Madiun,"107,927.58","29,640.23",27.46,"17,437.88",16.16,"47,078.11",43.62,"23,335.56","1,487.38",23,P 1
2024,Jawa Timur,Kab. Magetan,"100,976.23","54,314.12",53.79,"19,515.35",19.33,"73,829.47",73.12,"53,841.63","1,685.83",54.99,P 1
2024,Jawa Timur,Kab. Ngawi,"135,297.67","21,803.63",16.12,"29,519.37",21.82,"51,323.00",37.93,"21,803.63",344.93,16.37,P 1
2024,Jawa Timur,Kab. Tuban,"192,907.81","45,584.15",23.63,"70,804.53",36.7,"116,388.67",60.33,"34,465.64","2,184.53",19,P 1
2024,Jawa Timur,Kab. Lamongan,"202,331.91","29,506.06",14.58,"75,737.50",37.43,"105,243.56",52.02,"28,923.58",912.5,14.75,P 1
2024,Jawa Timur,Kab. Pamekasan,"102,470.10","14,719.73",14.36,"48,133.43",46.97,"62,853.15",61.34,"14,441.20",,14.09,P 1
2024,Jawa Timur,Kab. Sumenep,"133,059.91","20,528.04",15.43,"14,006.87",10.53,"34,534.91",25.95,"8,535.65",197.1,6.56,P 1
2024,Jawa Timur,Kota Blitar,"27,988.20","4,390.08",15.69,"22,531.63",80.5,"26,921.71",96.19,"4,295.14",891.87,18.53,P 1
2024,Jawa Timur,Kota Malang,"284,095.41","76,714.26",27,"202,743.61",71.36,"279,457.87",98.37,"76,591.66","15,133.61",32.29,P 1
2024,Jawa Timur,Kota Probolinggo,"44,357.36","7,478.00",16.86,"24,528.00",55.3,"32,006.00",72.15,"7,318.80",116.8,16.76,P 1
2024,Jawa Timur,Kota Pasuruan,"54,335.88","10,969.04",20.19,"36,633.27",67.42,"47,602.31",87.61,"10,969.04",140.57,20.45,P 1
2024,Jawa Timur,Kota Madiun,"45,287.39","10,288.64",22.72,"34,545.43",76.28,"44,834.06",99,"9,545.74",490.93,22.16,P 1
2024,Jawa Timur,Kota Surabaya,"659,033.63","35,361.68",5.37,"617,454.51",93.69,"652,816.19",99.06,"33,286.04","42,774.53",11.54,P 1
2024,Jawa Timur,Kota Batu,"52,063.84","11,452.05",22,"36,507.30",70.12,"47,959.35",92.12,"11,357.59",109.5,22.03,P 1
